region,fuel_type,cap,total,share
UK & Ireland,Biomass,2043.874,106314.304,0.019224826040341664
UK & Ireland,Fossil_fuels,60164,106314.304,0.5659069169093183
UK & Ireland,Hydro,5108,106314.304,0.04804621586950331
UK & Ireland,Nuclear,8981,106314.304,0.08447593279639963
UK & Ireland,Other,3966.4170000000004,106314.304,0.037308403956630334
UK & Ireland,Solar,9063,106314.304,0.08524723070190066
UK & Ireland,Wind,16988.013,106314.304,0.15979047372590616
CEE,Biomass,1710,96797.80180312788,0.017665690420097368
CEE,Fossil_fuels,56190,96797.80180312788,0.5804883887165329
CEE,Hydro,15295.92180312787,96797.80180312788,0.15801930951115467
CEE,Nuclear,9771,96797.80180312788,0.10094237490922303
CEE,Other,605.88,96797.80180312788,0.0062592330477945
CEE,Solar,4182,96797.80180312788,0.0432034604309048
CEE,Wind,9043,96797.80180312788,0.0934215429642927
CWE,Biomass,9120.439,397356.85175000003,0.022952766410929266
CWE,Fossil_fuels,118839,397356.85175000003,0.29907374058512126
CWE,Hydro,68049.76875,397356.85175000003,0.17125605976165226
CWE,Nuclear,81897,397356.85175000003,0.20610441128501314
CWE,Other,4567.644,397356.85175000003,0.011495067921651864
CWE,Solar,51581,397356.85175000003,0.12981026946643054
CWE,Wind,63302,397356.85175000003,0.15930768456920158
Iberia,Biomass,2148,118241.99999999999,0.0181661338610646
Iberia,Fossil_fuels,45683,118241.99999999999,0.3863517193552207
Iberia,Hydro,27015.99999999999,118241.99999999999,0.2284805737386038
Iberia,Nuclear,7572,118241.99999999999,0.06403815902978638
Iberia,Other,1076,118241.99999999999,0.009099981394090087
Iberia,Solar,6929,118241.99999999999,0.05860015899595745
Iberia,Wind,27818,118241.99999999999,0.235263273625277
Italy,Biomass,1610,99874.00000000001,0.01612031159260668
Italy,Fossil_fuels,46342,99874.00000000001,0.4640046458537757
Italy,Hydro,22298.00000000001,99874.00000000001,0.22326130924965465
Italy,Other,1288,99874.00000000001,0.012896249274085345
Italy,Solar,18920,99874.00000000001,0.1894386927528686
Italy,Wind,9416,99874.00000000001,0.09427879127700901
Northern,Biomass,4831.236,105843.1304559503,0.04564524857860907
Northern,Fossil_fuels,18373,105843.1304559503,0.17358708043547955
Northern,Hydro,55549.5014559503,105843.1304559503,0.5248285950789111
Northern,Nuclear,11196,105843.1304559503,0.10577918426798176
Northern,Other,1020.393,105843.1304559503,0.009640616217645474
Northern,Solar,921,105843.1304559503,0.008701556690854878
Northern,Wind,13952,105843.1304559503,0.13181771873051817
SEE,Biomass,140,51016.47262004174,0.0027442116792880974
SEE,Fossil_fuels,24173,51016.47262004174,0.47382734945307986
SEE,Hydro,18027.507620041746,51016.47262004174,0.3533664068526695
SEE,Nuclear,2000,51016.47262004174,0.039203023989829965
SEE,Other,44.965,51016.47262004174,8.813819868513522e-4
SEE,Solar,3531,51016.47262004174,0.06921293885404481
SEE,Wind,3100,51016.47262004174,0.06076468718423644
