id,Hydro,Solar,Wind,label
1990,576.7759426544404,100.45760014957754,326.11932100606134,1990
1991,585.7188926520419,99.96507010941477,293.34416767976586,
1992,635.5276448168852,99.50533582206,315.1696717669765,
1993,648.8460695559404,97.04621404218298,313.6319997809801,
1994,631.858129780351,97.53952850664099,325.5867400655413,
1995,644.3014264239638,97.2861824517275,324.75002067533,
1996,615.4736304258677,93.01354259238117,294.22762977947525,
1997,651.7076791130194,101.35794782831972,291.0546821652066,
1998,670.5213903689917,95.26128106307863,329.57706195362204,1998
1999,671.4599068034541,98.15637918935711,318.5734897089706,
2000,699.734986719697,97.62131656210451,319.0513288177872,2000
2001,693.0584582405329,96.72328533050704,301.8876926891507,
2002,657.3597470113612,95.55412080818024,309.74081593325735,
2003,630.6224882943001,105.87634297955724,280.67057437501177,2003
2004,647.3070594069599,97.50437223884269,297.78932785873985,
2005,639.2034330671619,98.12294373092261,289.8656824178922,
2006,628.0199799869756,97.86653097148144,284.9050068348694,
2007,648.0529320116841,99.83559370272137,312.0585410981644,
2008,644.1811594729236,95.70124975826512,309.5521206387923,
2009,634.0807235315292,98.0709233275368,287.89974342914803,
2010,644.9190093140179,95.33124022073169,278.2697919503403,2010
2011,638.1921923193514,104.51221431114067,291.31644104049457,
2012,645.6847538482733,99.16880997733355,292.74483683656655,
2013,675.5882694255697,91.10621766869096,299.1985567567771,2013
2014,664.2176741987153,97.27002450278869,290.45585493396766,
2015,657.7269280444339,101.22991274884289,310.5318716135879,
