Location,id,Solar & Wind,Hydro-power,intensity,cost_per_mwh,label
Iberia,1990,73.13207467601207,44.198414822643045,271.1820897469733,15.142021291497455,
Iberia,1991,75.12690636339225,53.58971369354825,254.28540705273994,14.37063228832684,
Iberia,1992,76.43910568096857,39.497783384436815,283.38335345385906,15.358164823535551,
Iberia,1993,74.765060861341,46.935475665251815,274.01144616939786,14.808849448344091,
Iberia,1994,77.50517534691603,49.21899828545297,253.48220181468346,13.873467699756786,
Iberia,1995,81.45605409188478,46.05366703182938,242.15260107262492,13.777776114793495,
Iberia,1996,82.00694372579731,71.57648331154172,182.98503385221292,11.210979006849621,"1996 
 Carbon intensity: 183 gCO2/kWh 
 Fuel cost: 11.2 EUR/MWh"
Iberia,1997,72.99926394442988,64.11955892232984,225.42319497905999,12.556082761249748,
Iberia,1998,75.73344449331283,52.17729067034422,241.18748183354697,13.855080994711228,
Iberia,1999,80.35834624356623,47.31250351129012,253.7083631968538,13.839179247673494,
Iberia,2000,80.32396458044205,54.18702504651712,229.11160402409007,13.046125398279415,
Iberia,2001,81.25352585215803,63.106426319568335,211.8885387206647,12.366888596183063,
Iberia,2002,78.27395762792473,51.81521194043059,237.19143948931858,13.315373804635898,
Iberia,2003,76.44463523157575,65.31184406669256,216.37216073130108,12.648437041216514,
Iberia,2004,72.2228706640231,47.647184618868685,269.15309175353417,15.031353397789147,
Iberia,2005,74.2140424409899,34.13620932487898,305.03982004043456,16.83007557775937,"2005 
 Carbon intensity: 305 gCO2/kWh 
 Fuel cost: 16.8 EUR/MWh"
Iberia,2006,70.627330167087493,53.80149036632635,247.04743091028865,14.536418980760553,
Iberia,2007,71.76505690361574,43.814880488608786,269.93358685746387,15.043788327518206,
Iberia,2008,72.85390081625181,44.59170113501561,269.87314302329963,15.00912264421354,
Iberia,2009,75.62366381225944,49.18206811220749,258.3119434138308,14.607810573773827,
Iberia,2010,78.56711428532236,74.0677084194813,198.18395878854344,11.809749675199765,
Iberia,2011,67.73062593111301,49.41528720746158,267.3102662051412,15.099382045938105,
Iberia,2012,72.09745005917145,34.62900954075124,308.3107277614168,16.823560669703294,
Iberia,2013,84.76877241687914,67.21350971808472,199.87130130883676,11.727924018146902,
Iberia,2014,77.10475027144987,67.68437034975547,200.00259607806424,11.642241895053502,
Iberia,2015,72.29293846999077,43.85718839574506,277.98467859936267,15.251643411357472,
