n,HPHS,WTOF,WTON,region,wind
AT,0.43991253889496257,NA,0.20931797157514084,CWE,0.20931797157514084
BA,0.30641330166270786,NA,NA,SEE,0
BE,0.0903448275862069,0.04910344827586206,0.10896551724137932,CWE,0.15806896551724137
BG,0.16000631811720104,NA,0.11072500394882323,SEE,0.11072500394882323
CH,0.2273046532045654,NA,0.010535557506584723,CWE,0.010535557506584723
CZ,0.11362094037809016,NA,0.026854095976732918,CEE,0.026854095976732918
DE,0.0793774410893601,0.03873883441301757,0.4841823309379683,CWE,0.5229211653509859
DK,0.018916155419222903,0.2165985003408316,0.6489434219495569,Northern,0.8655419222903885
EE,NA,NA,0.2624212736179146,Northern,0.2624212736179146
ES,0.12449042938437661,NA,0.4712260734609415,Iberia,0.4712260734609415
FI,NA,NA,0.07849111352919841,Northern,0.07849111352919841
FR,0.06998048196788842,NA,0.10125837362809813,CWE,0.10125837362809813
GB,0.038434602347536206,0.07018797097795333,0.12891839650390788,UK & Ireland,0.19910636748186122
GR,0.06722446624350836,NA,0.18032313906520486,SEE,0.18032313906520486
HR,0.09796054831160146,NA,0.16349047141424272,SEE,0.16349047141424272
HU,NA,NA,0.05172685696262419,CEE,0.05172685696262419
IE,0.0555027561300133,0.006275042767534689,0.520813533548755,UK & Ireland,0.5270885763162897
IT,0.11801854184837032,NA,0.15208192008269536,Italy,0.15208192008269536
LT,0.5016722408026756,NA,0.28372352285395763,Northern,0.28372352285395763
LV,NA,NA,0.05849802371541502,Northern,0.05849802371541502
MK,NA,NA,0.02432244614315497,SEE,0.02432244614315497
NL,NA,0.01908376543539851,0.17554925963543058,CWE,0.19463302507082908
NO,0.05483523583889726,NA,0.03760499676933018,Northern,0.03760499676933018
PL,0.07657079267248758,NA,0.23514809108029444,CEE,0.23514809108029444
PT,0.24941792782305008,NA,0.48952270081490107,Iberia,0.48952270081490107
RO,0.01004147566033617,NA,0.32067234228334424,CEE,0.32067234228334424
RS,0.0832655275291565,NA,NA,SEE,0
SE,0.009197686794049866,NA,0.23310387984981226,Northern,0.23310387984981226
SI,0.08591885441527446,NA,0.001431980906921241,CEE,0.001431980906921241
SK,0.2236328125,NA,7.32421875e-4,CEE,7.32421875e-4
