region,hist_NA,label,tas,delta
CEE,9.477863812130952,proj_RCP45,10.580063618638686,1.102199806507734
CWE,10.113509986521887,proj_RCP45,11.042605054490178,0.9290950679682908
Iberia,14.272372910021877,proj_RCP45,15.480656515310296,1.2082836052884183
Italy,12.72514471595303,proj_RCP45,13.878244697815907,1.1530999818628764
Northern,3.775381541093977,proj_RCP45,5.182817425878549,1.4074358847845723
SEE,12.074255467671952,proj_RCP45,13.335143168610307,1.2608877009383548
UK & Ireland,9.514626235224362,proj_RCP45,10.237505135598726,0.7228789003743632
CEE,9.477863812130952,proj_RCP85,10.998440478580138,1.5205766664491858
CWE,10.113509986521887,proj_RCP85,11.405865084405203,1.2923550978833163
Iberia,14.272372910021877,proj_RCP85,15.927912907687029,1.6555399976651515
Italy,12.72514471595303,proj_RCP85,14.313068378067994,1.5879236621149637
Northern,3.775381541093977,proj_RCP85,5.66118179230744,1.885800251213463
SEE,12.074255467671952,proj_RCP85,13.778196622141698,1.7039411544697458
UK & Ireland,9.514626235224362,proj_RCP85,10.53027729140774,1.015651056183378
