year,region,tas
1980,CEE,7.380999932501861
1980,CWE,8.42901609829305
1980,Iberia,13.10093260850803
1980,Italy,10.960490569217598
1980,Northern,2.057798056078049
1980,SEE,10.634992537052351
1980,UK & Ireland,8.676468347902384
1981,CEE,8.56909233522523
1981,CWE,9.111832085614076
1981,Iberia,13.815711627136789
1981,Italy,11.538345647260542
1981,Northern,1.9729927333184718
1981,SEE,11.220085175320566
1981,UK & Ireland,8.630723737801668
1982,CEE,8.858277692564036
1982,CWE,9.699755929699693
1982,Iberia,13.685352582107868
1982,Italy,12.177183474886647
1982,Northern,3.0866834150528577
1982,SEE,11.378480862493621
1982,UK & Ireland,9.17898842970358
1983,CEE,9.373451504925681
1983,CWE,9.650979255947243
1983,Iberia,13.701080505112452
1983,Italy,11.904492375570726
1983,Northern,3.3818571410418263
1983,SEE,11.299656196403266
1983,UK & Ireland,9.351953231948823
1984,CEE,8.362222173117981
1984,CWE,8.74148264629496
1984,Iberia,12.832831042601315
1984,Italy,11.142131378643398
1984,Northern,3.393006572693559
1984,SEE,11.130525014826572
1984,UK & Ireland,9.100902267829978
1985,CEE,7.547914002103585
1985,CWE,8.397184793043186
1985,Iberia,13.664895536485554
1985,Italy,11.7417775068497
1985,Northern,1.080073600326637
1985,SEE,11.172380952037697
1985,UK & Ireland,8.299030770619392
1986,CEE,8.418821747805119
1986,CWE,8.813966755875922
1986,Iberia,13.357570852014588
1986,Italy,11.789080066210886
1986,Northern,2.335404850705328
1986,SEE,11.291291115038083
1986,UK & Ireland,8.121632267700363
1987,CEE,7.685748369405753
1987,CWE,8.62384464132864
1987,Iberia,14.031831297622219
1987,Italy,11.90578217808303
1987,Northern,1.3840335351664608
1987,SEE,11.201603287474809
1987,UK & Ireland,8.542901050300395
1988,CEE,8.824602703360746
1988,CWE,9.738182477140695
1988,Iberia,13.63023850034588
1988,Italy,12.248390653460035
1988,Northern,3.1312286709296746
1988,SEE,11.509948531830355
1988,UK & Ireland,9.189897788931793
1989,CEE,9.60871819990764
1989,CWE,10.209208425454255
1989,Iberia,14.533158395674972
1989,Italy,11.951737835614608
1989,Northern,4.530937475892439
1989,SEE,11.488527013659255
1989,UK & Ireland,9.725676931503138
1990,CEE,9.568203808208086
1990,CWE,10.141638499974777
1990,Iberia,14.201936245143889
1990,Italy,12.291256526257087
1990,Northern,4.324160880558841
1990,SEE,11.951621868168997
1990,UK & Ireland,9.754253172291964
1991,CEE,8.286738637549979
1991,CWE,9.04502199642775
1991,Iberia,13.53443576852802
1991,Italy,11.472553015982385
1991,Northern,3.5156722348843386
1991,SEE,10.656057837369627
1991,UK & Ireland,8.92206331541067
1992,CEE,9.230258834320576
1992,CWE,9.746286819461693
1992,Iberia,13.402629696346695
1992,Italy,12.185167306467179
1992,Northern,3.780285027398138
1992,SEE,11.482454125734646
1992,UK & Ireland,9.071534010022846
1993,CEE,8.501520503435401
1993,CWE,9.250303314257897
1993,Iberia,12.988379132851046
1993,Italy,12.15261978082168
1993,Northern,2.9162835066719053
1993,SEE,11.35337602504576
1993,UK & Ireland,8.782498838506928
1994,CEE,9.895451442669303
1994,CWE,10.535222295574751
1994,Iberia,14.3148474156265
1994,Italy,13.104899202054412
1994,Northern,3.0392997241345565
1994,SEE,12.58860336662048
1994,UK & Ireland,9.33273454813731
1995,CEE,8.85964699969797
1995,CWE,9.859821527539628
1995,Iberia,14.883370621866625
1995,Italy,12.037479440638265
1995,Northern,3.282412891362384
1995,SEE,11.33973663410765
1995,UK & Ireland,9.668137695416979
1996,CEE,7.693575908748376
1996,CWE,8.568439657599923
1996,Iberia,13.825830894938207
1996,Italy,11.839708454006768
1996,Northern,2.5261787668286253
1996,SEE,10.952679709238657
1996,UK & Ireland,8.670710172716882
1997,CEE,8.469791571657211
1997,CWE,9.992099607425345
1997,Iberia,14.75225006737306
1997,Italy,12.716229942922155
1997,Northern,3.597502753117828
1997,SEE,11.143384981581478
1997,UK & Ireland,9.900580934550234
1998,CEE,8.954372766717487
1998,CWE,9.722651941521807
1998,Iberia,14.21662175217913
1998,Italy,12.58035456620928
1998,Northern,2.8033200578381234
1998,SEE,11.73129650188553
1998,UK & Ireland,9.608488342761738
1999,CEE,9.52224785263185
1999,CWE,10.13654688468066
1999,Iberia,14.029287141477615
1999,Italy,12.624981385845956
1999,Northern,3.633400561065088
1999,SEE,12.135176553738804
1999,UK & Ireland,9.766723675569724
2000,CEE,10.130406624625232
2000,CWE,10.403241945975653
2000,Iberia,14.166741814406624
2000,Italy,12.977387395264543
2000,Northern,4.50064066474095
2000,SEE,12.42797723475041
2000,UK & Ireland,9.461472600827943
2001,CEE,9.094592100548045
2001,CWE,9.854214413569505
2001,Iberia,14.264629127443609
2001,Italy,12.788373730593605
2001,Northern,3.1972328743066294
2001,SEE,12.064514943497805
2001,UK & Ireland,9.20515878557389
2002,CEE,9.81620051067128
2002,CWE,10.356964613375442
2002,Iberia,14.314822865335548
2002,Italy,12.81623568036548
2002,Northern,3.7004982259469776
2002,SEE,12.228197288137478
2002,UK & Ireland,9.77488030512103
2003,CEE,9.071875150415355
2003,CWE,10.449442090085842
2003,Iberia,14.612105751871056
2003,Italy,13.069749843607894
2003,Northern,3.698712513215049
2003,SEE,11.87670072664232
2003,UK & Ireland,9.79685328196456
2004,CEE,8.985268334734615
2004,CWE,9.771338432784834
2004,Iberia,14.024248997423406
2004,Italy,12.461405702414083
2004,Northern,3.6980613212966285
2004,SEE,11.704128655104196
2004,UK & Ireland,9.736198039465725
2005,CEE,8.835909214440406
2005,CWE,9.810143545561598
2005,Iberia,14.012701525393318
2005,Italy,11.946177586757301
2005,Northern,4.094057841944525
2005,SEE,11.213986480747248
2005,UK & Ireland,9.762585403173565
2006,CEE,9.270720788176426
2006,CWE,10.426309032899189
2006,Iberia,14.7793592847263
2006,Italy,12.68995912214723
2006,Northern,4.3230323949152885
2006,SEE,11.640592998586971
2006,UK & Ireland,10.004087178030666
2007,CEE,10.228653189830775
2007,CWE,10.404389841252074
2007,Iberia,13.800697801366066
2007,Italy,13.062382587899833
2007,Northern,4.188738710916106
2007,SEE,12.703648190699377
2007,UK & Ireland,9.920934890004993
2008,CEE,10.044221734340065
2008,CWE,10.030620461130392
2008,Iberia,13.723387153249123
2008,Italy,12.90979656306996
2008,Northern,4.221579542993315
2008,SEE,12.587740524778436
2008,UK & Ireland,9.327999791678808
2009,CEE,9.66134352413567
2009,CWE,10.140212268295604
2009,Iberia,14.565616450143402
2009,Italy,12.941506795662349
2009,Northern,3.5464847353106186
2009,SEE,12.440268181219112
2009,UK & Ireland,9.421618010914452
2010,CEE,8.742974860279018
2010,CWE,8.964930816765474
2010,Iberia,13.798590485702999
2010,Italy,12.215646308219448
2010,Northern,1.953533676981179
2010,SEE,12.29930680727279
2010,UK & Ireland,8.289706101329347
2011,CEE,9.492833631963528
2011,CWE,10.726815841972389
2011,Iberia,14.794736771075488
2011,Italy,13.0737811563925
2011,Northern,4.55212798496171
2011,SEE,11.879131803871443
2011,UK & Ireland,9.869508954304361
2012,CEE,9.616874564080632
2012,CWE,10.011575022447323
2012,Iberia,14.187087487278323
2012,Italy,13.068864401184157
2012,Northern,2.9935234389797016
2012,SEE,12.596052329627707
2012,UK & Ireland,9.079028929641883
2013,CEE,9.534505698556138
2013,CWE,9.609268790077008
2013,Iberia,13.908230762268659
2013,Italy,12.746081033104701
2013,Northern,4.042744835739576
2013,SEE,12.672859328347094
2013,UK & Ireland,9.130862711681669
2014,CEE,10.381039266227415
2014,CWE,11.037545439845484
2014,Iberia,14.699950815020978
2014,Italy,13.395482609588555
2014,Northern,4.774964359239385
2014,SEE,12.767684103548733
2014,UK & Ireland,10.127062286960289
2015,CEE,10.495320882779062
2015,CWE,10.79672326258979
2015,Iberia,14.886243707678378
2015,Italy,13.440115542237322
2015,Northern,4.685755911916406
2015,SEE,12.63769574823606
2015,UK & Ireland,9.462563223619119
2016,CEE,9.86361332296569
2016,CWE,10.307485513465409
2016,Iberia,14.6463137641569
2016,Italy,13.192578283243222
2016,Northern,4.158410418006978
2016,SEE,12.53680215728328
2016,UK & Ireland,9.591477086496596
2017,CEE,9.770257246311825
2017,CWE,10.46345563159353
2017,Iberia,15.137150271933903
2017,Italy,13.183485344748306
2017,Northern,3.781695004160539
2017,SEE,12.403073961034092
2017,UK & Ireland,9.895529401617553
2018,CEE,10.561386891888397
2018,CWE,11.219816117374197
2018,Iberia,14.244468657052638
2018,Italy,13.507718421232823
2018,Northern,4.33819415863645
2018,SEE,12.928272218523784
2018,UK & Ireland,9.787177736379453
2019,CEE,11.625254113546072
2019,CWE,11.527075531199285
2019,Iberia,15.193729585145716
2019,Italy,14.035770629990848
2019,Northern,4.637385279953001
2019,SEE,13.870371198771256
2019,UK & Ireland,10.105306936280897
