month,year,demand_anom,wind_anom
1,1990,-4.0845578160118725,29.29719233400597
1,1991,2.7408982809547036,-1.910531520031426
1,1992,2.147478217822134,-38.390651890738134
1,1993,-1.7434434792216933,29.147604939668415
1,1994,-0.3242496959441752,19.345711916447875
1,1995,0.1716016447214194,12.630579341773988
1,1996,1.7258868327790204,13.808142460363513
1,1997,6.261947227831749,-39.44987496462752
1,1998,-1.4792236085482375,3.526752882994512
1,1999,-2.4047606260327896,3.2224027218599325
1,2000,-0.15395801186288383,-12.12612625327128
1,2001,2.376787588299041,-20.097223190820838
1,2002,-2.4207361502105944,16.028572857767095
1,2003,0.6294765009770787,12.715947359470253
1,2004,-1.4222040965328766,-6.385874694034427
1,2005,-3.137653374058077,23.675528073396695
1,2006,0.7554086075263834,-22.77522680027049
1,2007,-5.159226007040861,19.097216062716022
1,2008,-4.537928444759599,17.26445245996442
1,2009,2.760644539821007,-5.119803980174512
1,2010,6.973766946408851,-31.036014724493317
1,2011,2.804970183554159,-40.159297172118876
1,2012,-2.0530875397879433,7.926404769675448
1,2013,2.582240480613244,-10.372051743058746
1,2014,-3.2226326869855613,2.629705232245944
1,2015,0.21255448568836371,17.506463521289522
2,1990,-5.500382104450418,51.29222399527825
2,1991,7.351182706668028,-28.28412787694383
2,1992,-1.1369542687591823,12.881473670397433
2,1993,0.7062914329295579,-25.34533677631061
2,1994,3.997271771714669,10.140254453673261
2,1995,-3.686554509150861,29.141734626682005
2,1996,6.217243214621923,2.7037033310875787
2,1997,-3.407197495467769,46.21357713166319
2,1998,-4.645718233294506,13.1111452369038
2,1999,-0.3959397600815842,11.21942876333122
2,2000,-3.0230842016477926,39.71932954569901
2,2001,0.7973302905094419,-31.118651019806897
2,2002,-4.546859372770797,37.27406263299979
2,2003,1.6339892246137482,10.906163264542883
2,2004,-0.7165087304075618,-16.629470167764612
2,2005,1.55518864925088,-19.358520875163947
2,2006,2.0884446089362085,-12.219088723200358
2,2007,-3.2409111473529997,-10.22082277334721
2,2008,-2.531098963838628,-11.04339410224923
2,2009,1.5198107399770406,-37.72674536130047
2,2010,4.84959153245219,-53.22136805613061
2,2011,-3.0519495104047554,-8.762178130688827
2,2012,2.167412169338992,-18.45334648434176
2,2013,4.570290764007401,-8.457509830212125
2,2014,-3.4912822456598356,32.83798651160734
2,2015,1.9203934382666028,-16.60052298640525
12,1990,1.7441399796482548,-9.332129508746641
12,1991,1.2272186378037275,-24.188145456752828
12,1992,2.6485505027228693,-19.20043500975915
12,1993,0.354252693721005,30.526786089768283
12,1994,-2.893891660878255,22.388091206314886
12,1995,4.230773705718271,-18.142214112467343
12,1996,4.391776749006798,-18.970614849024912
12,1997,-2.056064339936058,8.705982719326393
12,1998,-1.4663034904348096,3.7724013451129106
12,1999,0.49881939879255466,26.375418396815377
12,2000,-1.2505577735329416,5.332851751194091
12,2001,2.1449662326912784,-10.141264588254064
12,2002,-1.2992436061821493,-15.654811373400184
12,2003,-0.6785264273213398,-12.819789530354893
12,2004,-0.9430015360408045,5.602478416910426
12,2005,-0.17307742691763883,-23.934567787340686
12,2006,-4.110601545532773,8.479445553128548
12,2007,-1.0114115134381347,24.87495805065222
12,2008,2.740920806581744,-16.374076017046836
12,2009,2.1040284781351004,-13.844929342526962
12,2010,7.828075630450981,-49.776510412840665
12,2011,-2.4915497473153003,33.88314704700183
12,2012,1.1019572033368832,-0.31222212673885363
12,2013,-3.15946628659363,24.418223489890433
12,2014,-0.6674733088597645,8.366427851165392
12,2015,-9.02613870331468,31.037281624009456
